排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
44,6442,光聖,2370,2025,105,+64.2,60.8,+70.5,17.8,+68.2,57.7,+2.13,16.9,+0.42,23.46,+9.16,33.7,-3,17.4,-2.97,72
45,2597,潤弘,158,2025,315,+20,54.8,+17.5,33.4,+20.4,17.4,-0.37,11.6,+0.19,10.75,+0.04,33.5,+1.73,14.2,+1.31,55
46,6805,富世達,1895,2025,124,+51.6,32.7,+79,21.3,+73.2,26.3,+4.03,17.1,+2.13,31,+13.1,33.4,+9.16,15.5,+4.17,66
47,4763,材料*-KY,46.35,2025,132,-15.8,77.5,-22,60.3,-27.7,58.6,-4.66,45.7,-7.65,6.1,-78.26,33.2,-29.6,28.3,-22.6,96
48,6757,台灣虎航,49.1,2025,169,+2.9,46.8,-9.09,24.7,-11,27.7,-3.65,14.6,-2.28,5.37,-0.79,33,-13.7,10.2,-3.47,57
49,6561,是方,373,2025,39.4,+3.97,20.7,+15.3,12.3,+14,52.6,+5.16,31.2,+2.8,15.75,+1.93,32.6,+3.96,16.4,+1.77,83
50,6881,潤德,252,2025,24.6,+22.9,4.71,+19.9,2.91,+30,19.1,-0.49,11.8,+0.65,19.42,+3.9,32.4,0,14,+0.53,50
51,2911,麗嬰房,5.09,2025,23.3,-16.8,8.43,-26.4,2.26,+153,36.1,-4.73,9.52,+24.5,2.15,+6.22,32.1,+91.4,6.74,+17.6,53
52,2707,晶華,179,2025,68.3,+8.51,22.3,+12.3,14.6,+8.13,32.7,+1.09,21.2,0,11.42,+0.85,31.6,+4.26,13.7,+1.32,64
53,8114,振樺電,177,2025,181,+30.7,87.9,+40.7,19.9,+91.3,48.4,+3.44,19.6,+5.74,18.5,+5.95,31.4,+4.21,19,+7.12,81
54,2382,廣達,329,2025,"21,237",+50.5,"1,483",+33.9,750,+25.6,6.98,-0.87,3.57,-0.7,19.45,+3.96,31.2,+2.76,6.66,-0.77,38
55,3443,創意,3580,2025,341,+36.3,84.5,+4.27,37.7,+9.24,24.8,-7.61,11,-2.74,28.13,+2.38,31.1,-1.76,13.8,-0.8,52
56,2364,倫飛,63.7,2025,15.1,+20.5,5.99,+27.4,2.2,+33.6,39.8,+2.16,14.5,+1.47,4.2,+0.11,31.1,-0.78,14.5,+2.88,64
57,3708,上緯投控,128,2025,10.1,-30.8,1.53,-53.7,38.1,+1242,15.2,-7.53,379,+353,35.57,+32.86,31,+26.9,22.8,+20.3,68
58,7714,創泓科技,135,2025,18,+45.1,3.44,+25.3,1.32,+40,19.1,-3.01,7.33,-0.27,6.33,+1.26,30.8,-3.08,15.7,+0.74,55
59,6419,京晨科,129.5,2025,4.98,-35.8,1.33,-18.2,1.26,-8.47,26.6,+5.74,25.3,+7.57,9.58,-0.88,30.5,-12,18.6,-5,73
60,4303,信立,55.4,2025,9.88,+164,1.76,+302,10.5,-22.4,17.8,+6.12,107,-255,11.15,-6.51,30.5,-38.3,23.7,-23.9,70
61,8462,柏文,142.5,2025,60.7,+18.4,19.4,+34,6.66,+79.8,31.9,+3.71,11.1,+3.75,8.49,+3.72,30.4,+10.8,5.93,+2.32,62
62,8454,富邦媒,174.5,2025,"1,087",-3.46,99.2,-5.69,29.9,-13.4,9.13,-0.22,2.76,-0.31,11.29,-2.4,30.2,-3.91,10.7,-1.35,51
63,1623,大東電,230,2025,66.1,+20.5,12.3,+24.5,8.17,+11.4,18.7,+0.6,12.4,-1.01,13.61,+1.03,29.9,-6.61,12.1,-0.37,51
64,6263,普萊德,140,2025,18.8,+0.24,8.79,-0.45,5.2,-3.4,46.7,-0.32,27.6,-1.04,8.32,-0.29,29.7,-1.98,23.6,-0.84,85
65,7765,中華資安,231,2025,20.5,+3.64,9.6,+11,4.37,+15.2,46.9,+3.09,21.4,+2.15,11.47,+1,29.5,-15.8,19.3,-5.46,77
66,2752,豆府,190,2025,40.7,+11.6,21.1,+11.1,4.01,-3.08,51.9,-0.2,9.95,-1.49,15.04,-0.62,29.1,-3.29,16.7,-1.81,70
67,8077,洛碁,41.6,2025,10.8,+1.41,3.13,-0.71,1.33,+37.3,28.9,-0.62,12.3,+3.21,6.04,+1.64,29.1,+2.5,4.73,+1.48,44
68,3130,一零四,221.5,2025,26.7,+7.02,23,+5.72,4.88,+3.98,86.1,-1.06,18.2,-0.53,14.7,+0.56,28.7,+0.66,12.7,-0.26,61
69,3709,鑫聯大投控,70.3,2025,410,+44.3,24.9,+88.3,8.49,+247,6.09,+1.42,2.07,+1.25,7.11,+4.68,28.5,+17.9,3.63,+1.59,32
70,3131,弘塑,3210,2025,65.1,+59.9,26.8,+45.3,13.3,+57,41.2,-4.14,20.3,-0.42,45.48,+16.41,28.4,+7.96,11.4,+2,68
71,7751,竑騰,1945,2025,18.6,+62.4,10.3,+67.2,5.19,+76.7,55.5,+1.58,28,+2.39,20.5,+8.48,28.3,+2.33,17,+1.95,79
72,6667,信紘科,294,2025,63.5,+75.2,12.9,+51.1,6.54,+48.7,20.3,-3.24,10.1,-1.92,13.77,+4.08,28.2,+2.57,11.9,+0.54,62
73,3653,健策,5020,2025,203,+42,84.3,+57.2,52.8,+54,41.6,+4.02,26.2,+2.27,36.75,+12.6,28.2,+2.85,22.9,+2.97,85
74,7750,新代,1915,2025,140,+29.2,63.9,+34.8,22.8,+66.3,45.8,+1.9,16.4,+3.65,35.12,+12.81,28.1,-6.22,16.9,+0.47,70
75,2379,瑞昱,538,2025,"1,227",+8.21,614,+7.37,148,-3.52,50,-0.39,12,-1.46,28.77,-1.05,28.1,-4.07,12.1,-2.62,60
76,8083,瑞穎,174,2025,14.3,-2.44,5.8,-8.37,3.44,-3.86,40.5,-2.63,24,-0.36,9.8,-0.39,28,-2.42,20.3,-0.59,64
77,6515,穎崴,10795,2025,78.6,+35.5,35.6,+40.4,16.7,+41.1,45.3,+1.57,21.3,+0.84,46.93,+12.62,27.9,+1.65,20.1,+1.08,74
78,3030,德律,342,2025,84.7,+33.2,49.4,+30.6,24.8,+35,58.4,-1.19,29.3,+0.38,10.49,+2.71,27.7,+3.97,22.2,+2.95,81
79,3526,凡甲,273.5,2025,39.3,+22.3,19.6,+16.1,11.1,+8.32,49.9,-2.68,28.1,-3.64,16.97,+0.17,27.6,-4.23,15.6,-3.54,77
80,2727,王品,226,2025,235,+5.21,111,+5.7,13.3,+2.73,47.5,+0.22,5.79,-0.06,16.02,+0.36,27.1,+0.38,8.06,-0.03,57
81,6028,公勝保經,79.1,2025,47.2,+5.26,6.81,-2.36,1.73,-27.6,14.4,-1.13,3.67,-1.67,7.86,-4.08,26.9,-15.7,11,-6.11,45
82,3135,凌航,113,2025,77,+39.9,7.74,+213,4.46,+213,10,+5.56,5.79,+3.2,6.33,+3.96,26.9,+14.5,11.5,+5.4,32
83,3218,大學光,129,2025,42,-0.57,24.8,-2,10.4,-2.07,59.1,-0.86,25.1,+0.25,12.31,-0.26,26.6,-2.94,17.8,-1.49,81
84,6223,旺矽,5135,2025,134,+31.5,74.3,+33.6,31.8,+38,55.6,+0.88,23.7,+1.14,33.49,+9.07,26.6,-0.59,15.7,-0.22,72
85,6811,宏碁資訊,194.5,2025,96.6,+11.2,12,+7.19,5.95,+10.4,12.4,-0.47,6.16,-0.04,14.36,+1.36,26.4,+0.2,9.63,+0.44,47
86,3231,緯創,140.5,2025,"21,865",+108,"1,340",+59.3,274,+57.1,6.13,-1.89,2.64,-0.28,9.04,+2.93,26.3,+6.84,6.85,+0.97,34
87,5212,凌網,48,2025,13.2,+15.9,6.86,+17.1,1.64,+23.5,52.1,+0.55,12.7,+0.9,4.74,+0.9,26.1,+3.23,11.7,+0.06,64
88,2454,聯發科,1900,2025,"5,960",+12.3,"2,831",+7.48,"1,053",-1,47.5,-2.14,17.8,-2.39,66.16,-0.76,26.1,-1.43,14.7,-1.35,68
89,2451,創見,250.5,2025,171,+69.8,80.2,+159,55.7,+141,46.8,+16.2,32.5,+9.56,12.98,+7.59,26,+14.2,23.4,+12.8,79
90,6231,系微,288.5,2025,16.9,+4.64,12.5,+0.19,3.04,-9.71,73.9,-3.28,18,-2.86,6.66,-0.71,26,-6.35,18.1,-3.99,73
91,3324,雙鴻,1040,2025,233,+47.5,63.7,+58.3,25.7,+35.9,27.4,+1.86,11.6,-0.65,28.26,+7.03,26,+2.05,12.5,-0.54,47
92,7711,永擎,306,2025,249,+183,21.2,+41.2,8.03,+59.1,8.54,-8.55,3.23,-2.51,13.04,+4.68,25.9,-20.4,9.99,-5.87,43
93,6712,長聖,138,2025,10.2,+8.96,7.21,+17.2,4.29,+16.9,70.9,+4.96,42.2,+2.88,4.88,+0.33,25.9,+5.67,20.7,+3.3,81
94,7744,崴寶,505,2025,23.7,+59.9,9.11,+55.6,4.73,+57.4,38.5,-1.08,20,-0.32,16.28,+5.56,25.8,-4.7,18.1,-0.6,70
95,2718,全心投控,47.35,2025,30.2,-28.9,20.2,-41.3,14.8,-52.2,66.9,-14.1,49,-23.8,16.94,-18.39,25.8,-55.9,20.7,-36.4,87
96,2421,建準,146,2025,187,+27.7,58,+39.6,21.7,+45.1,31.1,+2.64,11.6,+1.39,7.94,+2.48,25.8,+6.06,13.4,+2.55,57
97,6763,綠界科技*,49.05,2025,17.4,+8.73,7.28,+10.2,7.75,+117,41.7,+0.56,44,+22.1,4.21,+2.27,25.7,+13.1,10.8,+5.58,73
98,1215,卜蜂,142.5,2025,284,+1.7,60.4,+31.4,30.6,+58.8,21.2,+4.8,10.8,+4.04,10.39,+3.84,25.6,+7.86,10,+3.36,55
99,2539,櫻花建,45.95,2025,140,+55.3,57.4,+31.7,41.2,+45.7,41,-7.34,29.5,-1.93,3.46,+0.61,25.6,+3.91,12.9,+2.92,74
100,5536,聖暉*,863,2025,415,+37.1,78.5,+19.3,35.3,+34.8,18.9,-2.82,11.1,-0.76,28.42,+7.33,25.5,+1.41,12.2,+0.58,57
101,2912,統一超,238,2025,"3,507",+3.79,"1,205",+4.43,112,-2.85,34.4,+0.21,3.8,-0.26,10.78,-0.32,25.4,-2.11,4.74,-0.47,57
102,1477,聚陽,225,2025,344,-3.08,85.6,-4.75,36.1,-12.2,24.9,-0.44,10.7,-1.09,14.65,-2.03,25.4,-1.83,15.6,-1.78,60
103,3402,漢科,134,2025,52.5,-4.4,12.6,+8.48,5.48,+10.6,24,+2.85,10.4,+1.42,7.5,+0.72,25.3,+0.14,8.53,+0.71,57
104,8446,華研,89.3,2025,10.8,-21.1,7.27,-15.7,5.45,-9.95,67,+4.32,50.2,+6.21,10.3,-1.14,25.1,-5.72,18.7,-0.97,85
105,6788,華景電,474,2025,25.8,+20,15.1,+18.4,6.73,+31.1,58.3,-0.75,25.9,+2.43,17.36,+3.02,25.1,+0.63,18.5,+1.28,84
106,2498,宏達電,40.45,2025,29,-5.85,10.4,-17,60.3,+276,35.9,-4.81,208,+319,7.21,+11.32,25.1,+40.5,14.2,+21.7,62
107,7740,熙特爾-創,173,2025,42.2,+885,6.53,+549,2.54,+708,15.5,-7.99,6.6,+9.59,4.9,+5.8,25.1,+28.4,5.21,+6.38,47
108,4967,十銓,217,2025,204,+2.46,29.1,+30.9,11.1,+110,14.3,+3.1,5.43,+2.79,13.06,+6.26,25.1,+8.11,8.87,+3.22,36
109,2755,揚秦,137.5,2025,30.4,+20.1,8.34,+22.9,2.35,+33.5,27.4,+0.62,7.72,+0.77,6.44,+0.6,25,+2.66,11.6,+1.18,57
110,6523,達爾膚,101,2025,11.7,-5.92,8.06,-8.26,3.5,-26.5,69,-1.76,30,-8.37,7.78,-2.79,24.9,-7.58,21,-6.13,87
111,3188,鑫龍騰,26.2,2025,27,+79.1,12.2,+69.8,7.55,+83.1,45.3,-2.48,28,+0.6,4.05,+1.84,24.8,+9.68,7.59,+2.31,61
112,3217,優群,165,2025,41.5,+19.4,20.7,+19.1,11.4,+12.8,49.9,-0.15,27.6,-1.62,12.69,+1.44,24.5,+1.86,19,+0.92,77
113,2480,敦陽科,140,2025,83.9,+11.4,20.4,+8.2,8.51,+6.67,24.3,-0.71,10.1,-0.45,8,+0.5,24.5,+0.67,11.2,-0.36,53
114,1608,華榮,33.15,2025,113,+0.02,11.7,+23.4,23.3,+256,10.4,+1.96,21.3,+14,5.5,+3.95,24.5,+15.2,15.9,+9.83,49
115,6138,茂達,232.5,2025,74.8,+22.9,27,+24.5,9.51,+32.1,36,+0.47,15.3,+1.45,13.04,+3.15,24.2,+4.49,17.9,+3.84,64
116,6703,軒郁,112.5,2025,32.9,-8.29,20.6,-7.25,3.24,+7.92,62.6,+0.7,9.66,+1.63,9.9,-0.26,24.2,+2.41,14.1,+1.08,62
117,3034,聯詠,415,2025,"1,007",-2.07,379,-8.59,163,-19.6,37.7,-2.69,16.2,-3.55,26.87,-6.56,24.1,-6,16.4,-3.3,66
118,5289,宜鼎,1020,2025,143,+60,44.3,+56.9,20.4,+84,31.1,-0.61,14.2,+1.78,21.72,+9.52,24.1,+9.17,16.6,+5.08,57
119,8416,實威,172,2025,17,+9.96,8.82,+15.1,3.8,+22.3,52,+2.32,22.4,+2.26,13.46,+2.45,23.9,+2.73,18.7,+2.18,79
120,6104,創惟,93.4,2025,40.6,+27.6,19.2,+36,5.1,+67.4,47.3,+2.92,12.6,+2.99,5.62,+2.25,23.8,+7.83,14.6,+5.12,68
121,8464,億豐,369.5,2025,300,+1.47,176,+4.24,66,-4.37,58.8,+1.57,23.1,-0.96,22.53,-1.03,23.7,-3.39,17.8,-2.39,83
122,1615,大山,47.2,2025,57.2,-2.57,13,+16.2,9.45,+27.5,22.7,+3.67,16.5,+3.9,4.81,+0.85,23.6,+0.96,16.5,+1.26,55
123,2640,大車隊,188,2025,31.5,+4.37,15.8,+6.81,5.34,+0.92,50,+1.14,16.6,-0.71,9.01,+0.08,23.6,-1.55,12.8,-1.54,70
124,7786,東方風能,137,2025,105,+53.4,26,+43.5,17.7,+45.4,24.8,-1.72,16.9,-0.93,11.11,+3.17,23.5,-4.1,15.3,-0.87,62
125,3167,大量,670,2025,50.8,+95.4,19.9,+165,7.16,+476,39.2,+10.3,14.1,+9.32,8.13,+6.65,23.5,+18.3,10.5,+7.91,51
126,3158,嘉實,91.5,2025,10.1,+7.07,6.52,+7.74,1.98,+2.46,64.4,+0.4,19.5,-0.88,7.27,-0.05,23.4,-7.93,16.8,-4.69,75
127,6994,富威電力,73.6,2025,49.9,+165,9.56,+221,4.5,+430,19.2,+3.37,9.1,+4.62,6.34,+4.92,23.3,+14.6,8.05,+5.67,45
128,2449,京元電子,271,2025,349,+30.1,125,+34,110,+41.6,35.8,+1.05,31.7,+1.51,9.01,+2.65,23.2,+4.14,11.8,+1.69,74
129,5403,中菲,93,2025,34.1,+7.88,13.5,+9.37,6.32,+2.11,39.6,+0.54,18.6,-1.05,8.57,+0.13,23.2,-1.23,13.1,-0.45,66
130,5292,華懋,253.5,2025,28.6,+27.3,6.77,+18.6,4.18,+10.9,23.7,-1.74,14.6,-2.17,9.93,+0.07,23.2,-0.85,10.9,-1.43,62
131,6532,瑞耘,84.8,2025,6.75,-6.21,2.47,-4.39,2.74,+81.7,36.6,+0.69,40.6,+19.6,7.31,+3.28,23.2,+8.94,19.3,+7.1,77
132,6498,久禾光,95.4,2025,12.4,+19.8,5.91,+23.7,2.92,+27.7,47.8,+1.54,23.6,+1.46,6.51,+0.94,23.2,-2.65,14.4,-0.64,73
133,1232,大統益,151,2025,215,-2.51,28.9,+5.11,13.2,+0.23,13.4,+0.97,6.42,+0.2,8.25,+0.01,23.1,-0.99,14.5,-1.4,53
134,6197,佳必琪,189,2025,75.8,+12,26,+16.1,10.6,-0.18,34.3,+1.19,14.9,-1.96,8.67,-0.02,22.9,-5.31,13.8,-3.64,66
135,2376,技嘉,279,2025,"3,369",+27.1,352,+25.2,122,+24.5,10.4,-0.15,3.94,-0.11,18.2,+3.17,22.8,-0.28,9.94,-1.18,45
136,3570,大塚,162.5,2025,24.3,+15.7,6.96,+11.2,2.38,+7.49,28.6,-1.16,9.8,-0.75,13.95,+0.97,22.8,-0.38,15.2,-0.34,64
137,7738,東聯互動,178.5,2025,5.65,+30.2,3.12,+46.5,3.71,+58.8,55.1,+6.15,65.7,+11.9,14.61,+5.1,22.6,-2.29,19.8,+0.22,91
138,2458,義隆,135,2025,123,-2.91,60,-3.36,24.4,-10.7,48.6,-0.23,18.7,-1.7,8.53,-1.04,22.6,-4.41,15.1,-2.77,68
139,4760,勤凱,261,2025,19.1,+27.8,4.1,+25.8,2.23,+17.5,21.5,-0.34,11.7,-1.03,7.05,+0.75,22.5,+0.78,13.7,-0.52,49
140,6664,群翊,426,2025,25.7,+3.07,15.1,+16.5,9.14,-8.58,58.8,+6.76,35.5,-4.52,15.06,-1.91,22.5,-6.64,10.5,-2.23,74
141,3147,大綜,162,2025,81.7,+64.3,10.3,+33.1,3.68,-20.9,12.6,-2.97,4.51,-4.86,8.43,-3.51,22.5,-10.5,10.2,-3.58,40
142,2308,台達電,1900,2025,"5,549",+31.8,"1,902",+39.2,601,+70.6,34.3,+1.84,12.2,+2.65,23.14,+9.58,22.5,+6.99,11.6,+3.44,64
143,6196,帆宣,394.5,2025,516,-15,56.5,+7.11,32.4,+79.8,11,+2.26,6.14,+3.24,15.5,+6.56,22.4,+7.33,6.08,+2.32,51
144,5225,東科-KY,77,2025,110,-11,18.1,-15.1,8,-16,16.4,-0.79,7.24,-0.43,10.26,-2.42,22.4,-7.05,11.5,-2.8,53
145,6725,矽科宏晟,409,2025,38.2,+21,8.88,-8.73,4.29,-30.4,23.3,-7.58,11.2,-8.3,12.98,-5.7,22.3,-28.3,11.7,-8.42,60
146,6951,青新-創,81.7,2025,8.66,+23.9,5.1,+26.9,2.48,+17.6,59,+1.39,28.6,-1.43,5.39,+0.52,22.3,-2.03,15.6,-0.26,85
147,6577,勁豐,78.4,2025,20.8,-7.81,6.87,-2.58,3.39,-15,33.1,+1.78,16.3,-1.37,5.64,-0.99,22.2,-6.76,14.9,-3.12,62
148,5234,達興材料,456.5,2025,46.3,+12.4,18.8,+23.8,7.57,+32.7,40.6,+3.74,16.3,+2.49,7.37,+1.81,22.2,+4.45,15,+3.15,64
149,3014,聯陽,123.5,2025,69.5,+4.74,38.3,+3.84,15.3,-5.86,55.1,-0.48,22,-2.48,9.51,-0.59,22.2,-2.52,17,-2.07,74
150,3025,星通,64.4,2025,6.78,+4.27,4.62,+3.71,1.96,-6.43,68.1,-0.37,28.9,-3.3,3.45,-0.23,22.2,-2.12,16.5,-1.14,72
151,7753,星亞,39.6,2025,8.73,+9.51,2.96,+14,0.98,+24.7,33.9,+1.34,11.2,+1.37,4.22,+0.66,22.1,-2.12,12,+0.92,66
152,9917,中保科,115.5,2025,190,+6.29,61.8,+6.25,30.1,+5.7,32.6,-0.01,16.1,-0.08,6.77,+0.35,22.1,+0.31,10.3,-0.15,64
153,5434,崇越,418.5,2025,676,+18.6,86.5,+12,41.8,+14.3,12.8,-0.75,6.2,-0.23,21.81,+2.52,21.9,-0.04,10.6,-0.04,49
154,2546,根基,86,2025,215,+51,18.3,+39.1,12.4,+42.1,8.52,-0.73,5.78,-0.36,9.52,+2.42,21.9,+4.62,8.8,+1.98,48
155,8996,高力,1200,2025,65.8,+64.4,18,+50.6,8.3,+39.9,27.3,-2.51,12.6,-2.21,9.07,+2.51,21.8,+2.48,11.7,+0.81,57
156,6903,巨漢,390,2025,36,+24.9,9.97,+14,7.06,+18.7,27.7,-2.64,19.6,-1.02,10.62,+1.34,21.8,-0.28,15.9,-1.58,66
157,6782,視陽,223,2025,42.2,+15,19.1,+33.9,8.87,+39.4,45.2,+6.39,21,+3.61,14.08,+3.98,21.7,+2.68,15.7,+2.96,77
158,3665,貿聯-KY,2460,2025,712,+31.7,226,+48.2,90.1,+105,31.7,+3.52,12.6,+4.52,46.57,+21.16,21.7,+7.3,12.6,+4.98,62
159,1513,中興電,153.5,2025,274,+7.18,70.7,+5.16,39.9,+10.1,25.7,-0.5,14.5,+0.37,8.07,+0.74,21.7,-1.08,8.69,+0.48,51
